No.;Time;Comment;Scramble;Date;P.1
1;2.38;;L' D' U2 B2 U2 F' L2 D2 L2 B F' L D' F' U' R D2 B U';2022-10-26 18:30:11;2.38
2;1.93;;U2 R' U' L2 F U2 R2 B U2 L D2 R F2 U2 L B2 L U2 D2;2022-10-26 18:30:14;1.93
3;2.22;;U2 F2 D2 F D2 R2 D2 U2 F D2 R2 F2 D' R F R2 D U' R2 D2 B;2022-10-26 18:30:17;2.22
4;1.93;;D2 L F2 U2 F2 U2 L' R2 B2 L F2 D R2 U R2 B D' F' L' R';2022-10-26 18:30:20;1.93
5;2.93;;U F' L2 B2 D2 L2 F' L2 F' D2 F L' U R' D2 B R2 F' U';2022-10-26 18:30:25;2.93
6;2.67;;F' U L' F' B L B' R' U B2 R U2 R2 L F2 B2 R F2 D2 R';2022-10-26 18:30:29;2.67
7;2.06;;D L' F D L' D' R' U D' L2 D2 F B' D2 R2 B' R2 U2 F2 U2;2022-10-26 18:30:34;2.06
8;2.41;;F2 D L2 D2 B2 U' R2 F2 L2 B2 U' B2 L' B' R U R' D' B2 L' U';2022-10-26 18:30:37;2.41
9;2.64;;F2 L U' L' U D' F' R U2 L' D2 B2 D2 L2 B2 L B2 U2 R2 D F;2022-10-26 18:30:41;2.64
10;2.93;;B' D L2 R2 F2 D' U2 B2 L2 U2 L2 F D2 L' D2 U' F U L';2022-10-26 18:30:49;2.93
11;1.96;;U2 L2 U2 L2 B R2 B U2 F2 D2 F2 U' R2 D B D R2 U2 R' D;2022-10-29 17:13:15;1.96
12;1.80;;L F2 L2 D2 B2 U' B2 D' R2 D2 R2 B' L2 U R2 D U' R' U;2022-10-29 17:13:18;1.80
13;2.02;;D R' F' U' D' F2 B2 R F L2 F2 U B2 U F2 D2 L2 B2 R2 U';2022-10-29 17:13:21;2.02
14;2.69;;D' R2 B2 D' F2 L2 D' B2 R2 D B2 U' B' D R' B' D2 B U L;2022-10-29 17:13:23;2.69
15;3.11;;D L' R2 B2 D2 R' D2 L D2 B2 F2 R' F' U' R2 B2 U2 F' L2 U';2022-10-29 17:13:27;3.11
16;2.76;;R2 B' F2 R2 B2 D' R2 U2 B2 D2 B2 L2 B2 L' U' L U2 L2 F L' R;2022-10-29 17:13:31;2.76
17;2.11;;U D2 R2 F' L2 U2 L2 B2 U2 F R2 B' R2 D' B2 R' D' U2 F2 U2 F2;2022-10-29 17:13:35;2.11
18;3.75;;L F R L' F2 D R B U F2 R2 U' B2 D' R2 B2 U R2 L2 U2 L;2022-10-29 17:13:45;3.75
19;3.36;;R B2 R' D2 U2 L D2 R' U2 L B2 L' U' L2 R2 B2 F' L' D2 U' L;2022-10-29 17:14:03;3.36
20;2.16;;L2 B2 D2 F2 R2 F2 U2 L2 D B2 F2 U' F' U' L B2 F D R2 B' D;2022-10-29 17:14:14;2.16
21;3.31;;B2 D' R2 U F2 L2 U L2 U' B' U' R' F2 L' B' L D2 F U2;2022-10-29 17:14:26;3.31
22;2.31;;B2 U2 F D F U' L' U' D R2 D' L2 F2 U R2 L2 D B2 R' D2;2022-10-29 17:14:30;2.31
23;2.69;;B2 D B2 U F2 D' B2 D2 L2 U' F2 U2 L' F' R' B F' L' B' U R2;2022-10-29 17:14:33;2.69
24;2.70;;U L' D' L2 F' U2 D R D' F L2 B' U2 R2 U2 R2 F R2 D2 R2;2022-10-29 17:14:37;2.70
25;2.56;;R2 B' F2 L' D2 B2 L' D2 L2 F2 R U2 R' D L F L' F2 U' L2;2022-10-29 17:14:41;2.56
26;3.11;;F2 D F R2 L' U' L' F B U2 R2 F2 R2 D2 F L2 U2 B' R F;2022-10-29 17:14:45;3.11
27;2.05;;L2 B2 F2 D' B2 D' F2 D' F2 R U' L' U2 B' D L2 F D2 L' D;2022-10-29 17:14:52;2.05
28;1.86;;R2 U' B' L2 B' U2 B' F2 D2 L2 D2 L2 F U' L R' D2 U2 F' D' B';2022-10-29 17:14:55;1.86
29;1.99;;U B2 L2 R2 D L2 U2 F2 L2 D R2 L U B2 R' U2 F' D U' F' D2;2022-10-29 17:14:58;1.99
30;1.99;;D R2 F2 U2 F' D2 L2 F D2 R2 D2 F D L' D2 B' D2 R2 F;2022-10-29 17:15:01;1.99
31;1.99;;D' L2 R2 D L2 U2 B2 R2 D F2 U R' F R' D2 F' L U' B2 L2 R2;2022-10-29 17:15:04;1.99
32;2.60;;B U' F U2 B' L2 D2 L2 B R2 F' R2 B2 L' B' L U2 B' F2 R2;2022-10-29 17:15:08;2.60
33;2.53;;U R2 U R2 B2 L2 B2 U2 L2 D' B2 F' L' R' D' B' U2 F L2 D';2022-10-29 17:15:11;2.53
34;1.86;;B L' F R2 F2 D' L U D2 R F2 L U2 R D2 L' U2 L' U2 L' F';2022-10-29 17:15:15;1.86
35;2.18;;F2 U' R2 U' L2 D' B2 L2 D R2 F2 U' L F R U B' L' U B2 U2;2022-10-29 17:15:17;2.18
36;1.92;;D' B U2 B' U' R' B2 U' B' D L2 F2 D2 F2 D' R2 D' B2 R2;2022-10-29 17:15:21;1.92
37;2.37;;L2 U B2 L2 D2 L2 D U' R2 B2 L' U' R2 B L F D' L B2 U2;2022-10-29 17:15:23;2.37
38;2.32;;R F D2 R2 B' D2 B2 D2 L2 B D2 R F U F2 U L D F;2022-10-29 17:15:27;2.32
39;2.08;;B2 D' L' U R' B' R F D L2 F2 R F2 R' D2 B2 R' F2 L' D2;2022-10-29 17:15:30;2.08
40;2.15;;R2 B R2 F L2 R2 B R2 B2 D2 F2 L' R' B L U L B L2 D;2022-10-29 17:15:33;2.15
41;2.40;;F2 D2 L2 F L2 B2 U2 F L2 B2 U2 F2 D L' B2 F U R F R';2022-10-30 15:31:04;2.40
42;2.24;;D F2 D' L2 U F2 U2 B2 R2 U B2 L D2 U2 F D R B F' U;2022-10-30 15:31:54;2.24
43;2.46;;R2 U R2 U L2 D' B2 D B2 D' B' D2 L' D R2 F U2 B U' B2;2022-10-30 15:31:58;2.46
44;2.17;;R2 D L2 R2 D L2 B2 R2 L' U L2 B' D2 L2 D' B2 R B';2022-10-30 15:32:01;2.17
45;2.08;;D' F' L R2 B2 D U2 B2 L2 U R2 D L2 U2 F D2 B R B L B';2022-10-30 15:32:04;2.08
46;2.28;;D L B' U' R D L F' D2 R2 U2 B2 L2 F U2 B2 R2 D F;2022-10-30 15:32:07;2.28
47;1.72;;L F' D2 R2 D F2 D' B2 F2 U' R2 B2 R2 F' D U2 F2 L U' L';2022-10-30 15:32:14;1.72
48;1.82;;B2 L' D2 R L' U' B' D U2 L2 D2 F2 U2 L B2 R F2 L B';2022-10-30 15:32:21;1.82
49;2.78;;R2 F2 R U2 L2 D2 B2 U2 F2 L B L R2 F' R2 D B' R' D;2022-10-30 15:32:24;2.78
